NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIALMAUDT,NASDAQ Asia Large Mid Cap AUD TR Index (NQASIALMAUDT)
NASDAQOMX/NQASIALMCAD,NASDAQ Asia Large Mid Cap CAD Index (NQASIALMCAD)
NASDAQOMX/NQASIALMCADN,NASDAQ Asia Large Mid Cap CAD NTR Index (NQASIALMCADN)
NASDAQOMX/NQASIALMCADT,NASDAQ Asia Large Mid Cap CAD TR Index (NQASIALMCADT)
NASDAQOMX/NQASIALMEUR,NASDAQ Asia Large Mid Cap EUR Index (NQASIALMEUR)
NASDAQOMX/NQASIALMEURN,NASDAQ Asia Large Mid Cap EUR NTR Index (NQASIALMEURN)
NASDAQOMX/NQASIALMEURT,NASDAQ Asia Large Mid Cap EUR TR Index (NQASIALMEURT)
NASDAQOMX/NQASIALMGBP,NASDAQ Asia Large Mid Cap GBP Index (NQASIALMGBP)
NASDAQOMX/NQASIALMGBPN,NASDAQ Asia Large Mid Cap GBP NTR Index (NQASIALMGBPN)
NASDAQOMX/NQASIALMGBPT,NASDAQ Asia Large Mid Cap GBP TR Index (NQASIALMGBPT)
NASDAQOMX/NQASIALM,NASDAQ Asia Large Mid Cap Index (NQASIALM)
NASDAQOMX/NQASIALMJPY,NASDAQ Asia Large Mid Cap JPY Index (NQASIALMJPY)
NASDAQOMX/NQASIALMJPYN,NASDAQ Asia Large Mid Cap JPY NTR Index (NQASIALMJPYN)
NASDAQOMX/NQASIALMJPYT,NASDAQ Asia Large Mid Cap JPY TR Index (NQASIALMJPYT)
NASDAQOMX/NQASIALMN,NASDAQ Asia Large Mid Cap NTR Index (NQASIALMN)
NASDAQOMX/NQASIALMT,NASDAQ Asia Large Mid Cap TR Index (NQASIALMT)
NASDAQOMX/NQASIAN,NASDAQ Asia NTR Index (NQASIAN)
NASDAQOMX/NQASIA0001AUD,NASDAQ Asia Oil & Gas AUD Index (NQASIA0001AUD)
NASDAQOMX/NQASIA0001AUDN,NASDAQ Asia Oil & Gas AUD NTR Index (NQASIA0001AUDN)
NASDAQOMX/NQASIA0001AUDT,NASDAQ Asia Oil & Gas AUD TR Index (NQASIA0001AUDT)
NASDAQOMX/NQASIA0001CAD,NASDAQ Asia Oil & Gas CAD Index (NQASIA0001CAD)
NASDAQOMX/NQASIA0001CADN,NASDAQ Asia Oil & Gas CAD NTR Index (NQASIA0001CADN)
NASDAQOMX/NQASIA0001CADT,NASDAQ Asia Oil & Gas CAD TR Index (NQASIA0001CADT)
NASDAQOMX/NQASIA0001EUR,NASDAQ Asia Oil & Gas EUR Index (NQASIA0001EUR)
NASDAQOMX/NQASIA0001EURN,NASDAQ Asia Oil & Gas EUR NTR Index (NQASIA0001EURN)
NASDAQOMX/NQASIA0001EURT,NASDAQ Asia Oil & Gas EUR TR Index (NQASIA0001EURT)
NASDAQOMX/NQASIA0001GBP,NASDAQ Asia Oil & Gas GBP Index (NQASIA0001GBP)
NASDAQOMX/NQASIA0001GBPN,NASDAQ Asia Oil & Gas GBP NTR Index (NQASIA0001GBPN)
NASDAQOMX/NQASIA0001GBPT,NASDAQ Asia Oil & Gas GBP TR Index (NQASIA0001GBPT)
NASDAQOMX/NQASIA0001,NASDAQ Asia Oil & Gas Index (NQASIA0001)
NASDAQOMX/NQASIA0001JPY,NASDAQ Asia Oil & Gas JPY Index (NQASIA0001JPY)
NASDAQOMX/NQASIA0001JPYN,NASDAQ Asia Oil & Gas JPY NTR Index (NQASIA0001JPYN)
NASDAQOMX/NQASIA0001JPYT,NASDAQ Asia Oil & Gas JPY TR Index (NQASIA0001JPYT)
NASDAQOMX/NQASIA0001LMAUD,NASDAQ Asia Oil & Gas Large Mid Cap AUD Index (NQASIA0001LMAUD)
NASDAQOMX/NQASIA0001LMAUDN,NASDAQ Asia Oil & Gas Large Mid Cap AUD NTR Index (NQASIA0001LMAUDN)
NASDAQOMX/NQASIA0001LMAUDT,NASDAQ Asia Oil & Gas Large Mid Cap AUD TR Index (NQASIA0001LMAUDT)
NASDAQOMX/NQASIA0001LMCAD,NASDAQ Asia Oil & Gas Large Mid Cap CAD Index (NQASIA0001LMCAD)
NASDAQOMX/NQASIA0001LMCADN,NASDAQ Asia Oil & Gas Large Mid Cap CAD NTR Index (NQASIA0001LMCADN)
NASDAQOMX/NQASIA0001LMCADT,NASDAQ Asia Oil & Gas Large Mid Cap CAD TR Index (NQASIA0001LMCADT)
NASDAQOMX/NQASIA0001LMEUR,NASDAQ Asia Oil & Gas Large Mid Cap EUR Index (NQASIA0001LMEUR)
NASDAQOMX/NQASIA0001LMEURN,NASDAQ Asia Oil & Gas Large Mid Cap EUR NTR Index (NQASIA0001LMEURN)
NASDAQOMX/NQASIA0001LMEURT,NASDAQ Asia Oil & Gas Large Mid Cap EUR TR Index (NQASIA0001LMEURT)
NASDAQOMX/NQASIA0001LMGBP,NASDAQ Asia Oil & Gas Large Mid Cap GBP Index (NQASIA0001LMGBP)
NASDAQOMX/NQASIA0001LMGBPN,NASDAQ Asia Oil & Gas Large Mid Cap GBP NTR Index (NQASIA0001LMGBPN)
NASDAQOMX/NQASIA0001LMGBPT,NASDAQ Asia Oil & Gas Large Mid Cap GBP TR Index (NQASIA0001LMGBPT)
NASDAQOMX/NQASIA0001LM,NASDAQ Asia Oil & Gas Large Mid Cap Index (NQASIA0001LM)
NASDAQOMX/NQASIA0001LMJPY,NASDAQ Asia Oil & Gas Large Mid Cap JPY Index (NQASIA0001LMJPY)
NASDAQOMX/NQASIA0001LMJPYN,NASDAQ Asia Oil & Gas Large Mid Cap JPY NTR Index (NQASIA0001LMJPYN)
NASDAQOMX/NQASIA0001LMJPYT,NASDAQ Asia Oil & Gas Large Mid Cap JPY TR Index (NQASIA0001LMJPYT)
NASDAQOMX/NQASIA0001LMN,NASDAQ Asia Oil & Gas Large Mid Cap NTR Index (NQASIA0001LMN)
NASDAQOMX/NQASIA0001LMT,NASDAQ Asia Oil & Gas Large Mid Cap TR Index (NQASIA0001LMT)
NASDAQOMX/NQASIA0001N,NASDAQ Asia Oil & Gas NTR Index (NQASIA0001N)
NASDAQOMX/NQASIA0001T,NASDAQ Asia Oil & Gas TR Index (NQASIA0001T)
NASDAQOMX/NQASIA9000AUD,NASDAQ Asia Tech AUD Index (NQASIA9000AUD)
NASDAQOMX/NQASIA9000AUDN,NASDAQ Asia Tech AUD NTR Index (NQASIA9000AUDN)
NASDAQOMX/NQASIA9000AUDT,NASDAQ Asia Tech AUD TR Index (NQASIA9000AUDT)
NASDAQOMX/NQASIA9000CAD,NASDAQ Asia Tech CAD Index (NQASIA9000CAD)
NASDAQOMX/NQASIA9000CADN,NASDAQ Asia Tech CAD NTR Index (NQASIA9000CADN)
NASDAQOMX/NQASIA9000CADT,NASDAQ Asia Tech CAD TR Index (NQASIA9000CADT)
NASDAQOMX/NQASIA9000EUR,NASDAQ Asia Tech EUR Index (NQASIA9000EUR)
NASDAQOMX/NQASIA9000EURN,NASDAQ Asia Tech EUR NTR Index (NQASIA9000EURN)
NASDAQOMX/NQASIA9000EURT,NASDAQ Asia Tech EUR TR Index (NQASIA9000EURT)
NASDAQOMX/NQASIA9000GBP,NASDAQ Asia Tech GBP Index (NQASIA9000GBP)
NASDAQOMX/NQASIA9000GBPN,NASDAQ Asia Tech GBP NTR Index (NQASIA9000GBPN)
NASDAQOMX/NQASIA9000GBPT,NASDAQ Asia Tech GBP TR Index (NQASIA9000GBPT)
NASDAQOMX/NQASIA9000,NASDAQ Asia Tech Index (NQASIA9000)
NASDAQOMX/NQASIA9000JPY,NASDAQ Asia Tech JPY Index (NQASIA9000JPY)
NASDAQOMX/NQASIA9000JPYN,NASDAQ Asia Tech JPY NTR Index (NQASIA9000JPYN)
NASDAQOMX/NQASIA9000JPYT,NASDAQ Asia Tech JPY TR Index (NQASIA9000JPYT)
NASDAQOMX/NQASIA9000LMAUD,NASDAQ Asia Tech Large Mid Cap AUD Index (NQASIA9000LMAUD)
NASDAQOMX/NQASIA9000LMAUDN,NASDAQ Asia Tech Large Mid Cap AUD NTR Index (NQASIA9000LMAUDN)
NASDAQOMX/NQASIA9000LMAUDT,NASDAQ Asia Tech Large Mid Cap AUD TR Index (NQASIA9000LMAUDT)
NASDAQOMX/NQASIA9000LMCAD,NASDAQ Asia Tech Large Mid Cap CAD Index (NQASIA9000LMCAD)
NASDAQOMX/NQASIA9000LMCADN,NASDAQ Asia Tech Large Mid Cap CAD NTR Index (NQASIA9000LMCADN)
NASDAQOMX/NQASIA9000LMCADT,NASDAQ Asia Tech Large Mid Cap CAD TR Index (NQASIA9000LMCADT)
NASDAQOMX/NQASIA9000LMEUR,NASDAQ Asia Tech Large Mid Cap EUR Index (NQASIA9000LMEUR)
NASDAQOMX/NQASIA9000LMEURN,NASDAQ Asia Tech Large Mid Cap EUR NTR Index (NQASIA9000LMEURN)
NASDAQOMX/NQASIA9000LMEURT,NASDAQ Asia Tech Large Mid Cap EUR TR Index (NQASIA9000LMEURT)
NASDAQOMX/NQASIA9000LMGBP,NASDAQ Asia Tech Large Mid Cap GBP Index (NQASIA9000LMGBP)
NASDAQOMX/NQASIA9000LMGBPN,NASDAQ Asia Tech Large Mid Cap GBP NTR Index (NQASIA9000LMGBPN)
NASDAQOMX/NQASIA9000LMGBPT,NASDAQ Asia Tech Large Mid Cap GBP TR Index (NQASIA9000LMGBPT)
NASDAQOMX/NQASIA9000LM,NASDAQ Asia Tech Large Mid Cap Index (NQASIA9000LM)
NASDAQOMX/NQASIA9000LMJPY,NASDAQ Asia Tech Large Mid Cap JPY Index (NQASIA9000LMJPY)
NASDAQOMX/NQASIA9000LMJPYN,NASDAQ Asia Tech Large Mid Cap JPY NTR Index (NQASIA9000LMJPYN)
NASDAQOMX/NQASIA9000LMJPYT,NASDAQ Asia Tech Large Mid Cap JPY TR Index (NQASIA9000LMJPYT)
NASDAQOMX/NQASIA9000LMN,NASDAQ Asia Tech Large Mid Cap NTR Index (NQASIA9000LMN)
NASDAQOMX/NQASIA9000LMT,NASDAQ Asia Tech Large Mid Cap TR Index (NQASIA9000LMT)
NASDAQOMX/NQASIA9000N,NASDAQ Asia Tech NTR Index (NQASIA9000N)
NASDAQOMX/NQASIA9000T,NASDAQ Asia Tech TR Index (NQASIA9000T)
NASDAQOMX/NQASIA6000AUD,NASDAQ Asia Telecom AUD Index (NQASIA6000AUD)
NASDAQOMX/NQASIA6000AUDN,NASDAQ Asia Telecom AUD NTR Index (NQASIA6000AUDN)
NASDAQOMX/NQASIA6000AUDT,NASDAQ Asia Telecom AUD TR Index (NQASIA6000AUDT)
NASDAQOMX/NQASIA6000CAD,NASDAQ Asia Telecom CAD Index (NQASIA6000CAD)
NASDAQOMX/NQASIA6000CADN,NASDAQ Asia Telecom CAD NTR Index (NQASIA6000CADN)
NASDAQOMX/NQASIA6000CADT,NASDAQ Asia Telecom CAD TR Index (NQASIA6000CADT)
NASDAQOMX/NQASIA6000EUR,NASDAQ Asia Telecom EUR Index (NQASIA6000EUR)
NASDAQOMX/NQASIA6000EURN,NASDAQ Asia Telecom EUR NTR Index (NQASIA6000EURN)
NASDAQOMX/NQASIA6000EURT,NASDAQ Asia Telecom EUR TR Index (NQASIA6000EURT)
NASDAQOMX/NQASIA6000GBP,NASDAQ Asia Telecom GBP Index (NQASIA6000GBP)
NASDAQOMX/NQASIA6000GBPN,NASDAQ Asia Telecom GBP NTR Index (NQASIA6000GBPN)
NASDAQOMX/NQASIA6000GBPT,NASDAQ Asia Telecom GBP TR Index (NQASIA6000GBPT)
NASDAQOMX/NQASIA6000,NASDAQ Asia Telecom Index (NQASIA6000)
NASDAQOMX/NQASIA6000JPY,NASDAQ Asia Telecom JPY Index (NQASIA6000JPY)
NASDAQOMX/NQASIA6000JPYN,NASDAQ Asia Telecom JPY NTR Index (NQASIA6000JPYN)
NASDAQOMX/NQASIA6000JPYT,NASDAQ Asia Telecom JPY TR Index (NQASIA6000JPYT)
NASDAQOMX/NQASIA6000LMAUD,NASDAQ Asia Telecom Large Mid Cap AUD Index (NQASIA6000LMAUD)
NASDAQOMX/NQASIA6000LMAUDN,NASDAQ Asia Telecom Large Mid Cap AUD NTR Index (NQASIA6000LMAUDN)
NASDAQOMX/NQASIA6000LMAUDT,NASDAQ Asia Telecom Large Mid Cap AUD TR Index (NQASIA6000LMAUDT)
NASDAQOMX/NQASIA6000LMCAD,NASDAQ Asia Telecom Large Mid Cap CAD Index (NQASIA6000LMCAD)
NASDAQOMX/NQASIA6000LMCADN,NASDAQ Asia Telecom Large Mid Cap CAD NTR Index (NQASIA6000LMCADN)
NASDAQOMX/NQASIA6000LMCADT,NASDAQ Asia Telecom Large Mid Cap CAD TR Index (NQASIA6000LMCADT)
NASDAQOMX/NQASIA6000LMEUR,NASDAQ Asia Telecom Large Mid Cap EUR Index (NQASIA6000LMEUR)
NASDAQOMX/NQASIA6000LMEURN,NASDAQ Asia Telecom Large Mid Cap EUR NTR Index (NQASIA6000LMEURN)
NASDAQOMX/NQASIA6000LMEURT,NASDAQ Asia Telecom Large Mid Cap EUR TR Index (NQASIA6000LMEURT)
NASDAQOMX/NQASIA6000LMGBP,NASDAQ Asia Telecom Large Mid Cap GBP Index (NQASIA6000LMGBP)
NASDAQOMX/NQASIA6000LMGBPN,NASDAQ Asia Telecom Large Mid Cap GBP NTR Index (NQASIA6000LMGBPN)
NASDAQOMX/NQASIA6000LMGBPT,NASDAQ Asia Telecom Large Mid Cap GBP TR Index (NQASIA6000LMGBPT)
NASDAQOMX/NQASIA6000LM,NASDAQ Asia Telecom Large Mid Cap Index (NQASIA6000LM)
NASDAQOMX/NQASIA6000LMJPY,NASDAQ Asia Telecom Large Mid Cap JPY Index (NQASIA6000LMJPY)
NASDAQOMX/NQASIA6000LMJPYN,NASDAQ Asia Telecom Large Mid Cap JPY NTR Index (NQASIA6000LMJPYN)
NASDAQOMX/NQASIA6000LMJPYT,NASDAQ Asia Telecom Large Mid Cap JPY TR Index (NQASIA6000LMJPYT)
NASDAQOMX/NQASIA6000LMN,NASDAQ Asia Telecom Large Mid Cap NTR Index (NQASIA6000LMN)
NASDAQOMX/NQASIA6000LMT,NASDAQ Asia Telecom Large Mid Cap TR Index (NQASIA6000LMT)
NASDAQOMX/NQASIA6000N,NASDAQ Asia Telecom NTR Index (NQASIA6000N)
NASDAQOMX/NQASIA6000T,NASDAQ Asia Telecom TR Index (NQASIA6000T)
NASDAQOMX/NQASIAT,NASDAQ Asia TR Index (NQASIAT)
NASDAQOMX/NQASIA7000AUD,NASDAQ Asia Utilities AUD Index (NQASIA7000AUD)
NASDAQOMX/NQASIA7000AUDN,NASDAQ Asia Utilities AUD NTR Index (NQASIA7000AUDN)
NASDAQOMX/NQASIA7000AUDT,NASDAQ Asia Utilities AUD TR Index (NQASIA7000AUDT)
NASDAQOMX/NQASIA7000CAD,NASDAQ Asia Utilities CAD Index (NQASIA7000CAD)
NASDAQOMX/NQASIA7000CADN,NASDAQ Asia Utilities CAD NTR Index (NQASIA7000CADN)
NASDAQOMX/NQASIA7000CADT,NASDAQ Asia Utilities CAD TR Index (NQASIA7000CADT)
NASDAQOMX/NQASIA7000EUR,NASDAQ Asia Utilities EUR Index (NQASIA7000EUR)
NASDAQOMX/NQASIA7000EURN,NASDAQ Asia Utilities EUR NTR Index (NQASIA7000EURN)
NASDAQOMX/NQASIA7000EURT,NASDAQ Asia Utilities EUR TR Index (NQASIA7000EURT)
NASDAQOMX/NQASIA7000GBP,NASDAQ Asia Utilities GBP Index (NQASIA7000GBP)
NASDAQOMX/NQASIA7000GBPN,NASDAQ Asia Utilities GBP NTR Index (NQASIA7000GBPN)
NASDAQOMX/NQASIA7000GBPT,NASDAQ Asia Utilities GBP TR Index (NQASIA7000GBPT)
NASDAQOMX/NQASIA7000,NASDAQ Asia Utilities Index (NQASIA7000)
NASDAQOMX/NQASIA7000JPY,NASDAQ Asia Utilities JPY Index (NQASIA7000JPY)
NASDAQOMX/NQASIA7000JPYN,NASDAQ Asia Utilities JPY NTR Index (NQASIA7000JPYN)
NASDAQOMX/NQASIA7000JPYT,NASDAQ Asia Utilities JPY TR Index (NQASIA7000JPYT)
NASDAQOMX/NQASIA7000LMAUD,NASDAQ Asia Utilities Large Mid Cap AUD Index (NQASIA7000LMAUD)
NASDAQOMX/NQASIA7000LMAUDN,NASDAQ Asia Utilities Large Mid Cap AUD NTR Index (NQASIA7000LMAUDN)
NASDAQOMX/NQASIA7000LMAUDT,NASDAQ Asia Utilities Large Mid Cap AUD TR Index (NQASIA7000LMAUDT)
NASDAQOMX/NQASIA7000LMCAD,NASDAQ Asia Utilities Large Mid Cap CAD Index (NQASIA7000LMCAD)
NASDAQOMX/NQASIA7000LMCADN,NASDAQ Asia Utilities Large Mid Cap CAD NTR Index (NQASIA7000LMCADN)
NASDAQOMX/NQASIA7000LMCADT,NASDAQ Asia Utilities Large Mid Cap CAD TR Index (NQASIA7000LMCADT)
NASDAQOMX/NQASIA7000LMEUR,NASDAQ Asia Utilities Large Mid Cap EUR Index (NQASIA7000LMEUR)
NASDAQOMX/NQASIA7000LMEURN,NASDAQ Asia Utilities Large Mid Cap EUR NTR Index (NQASIA7000LMEURN)
NASDAQOMX/NQASIA7000LMEURT,NASDAQ Asia Utilities Large Mid Cap EUR TR Index (NQASIA7000LMEURT)
NASDAQOMX/NQASIA7000LMGBP,NASDAQ Asia Utilities Large Mid Cap GBP Index (NQASIA7000LMGBP)
NASDAQOMX/NQASIA7000LMGBPN,NASDAQ Asia Utilities Large Mid Cap GBP NTR Index (NQASIA7000LMGBPN)
NASDAQOMX/NQASIA7000LMGBPT,NASDAQ Asia Utilities Large Mid Cap GBP TR Index (NQASIA7000LMGBPT)
NASDAQOMX/NQASIA7000LM,NASDAQ Asia Utilities Large Mid Cap Index (NQASIA7000LM)
NASDAQOMX/NQASIA7000LMJPY,NASDAQ Asia Utilities Large Mid Cap JPY Index (NQASIA7000LMJPY)
NASDAQOMX/NQASIA7000LMJPYN,NASDAQ Asia Utilities Large Mid Cap JPY NTR Index (NQASIA7000LMJPYN)
NASDAQOMX/NQASIA7000LMJPYT,NASDAQ Asia Utilities Large Mid Cap JPY TR Index (NQASIA7000LMJPYT)
NASDAQOMX/NQASIA7000LMN,NASDAQ Asia Utilities Large Mid Cap NTR Index (NQASIA7000LMN)
NASDAQOMX/NQASIA7000LMT,NASDAQ Asia Utilities Large Mid Cap TR Index (NQASIA7000LMT)
NASDAQOMX/NQASIA7000N,NASDAQ Asia Utilities NTR Index (NQASIA7000N)
NASDAQOMX/NQASIA7000T,NASDAQ Asia Utilities TR Index (NQASIA7000T)
NASDAQOMX/NQASPAAUD,NASDAQ ASPA AUD Index (NQASPAAUD)
NASDAQOMX/NQASPAAUDN,NASDAQ ASPA AUD NTR Index (NQASPAAUDN)
NASDAQOMX/NQASPAAUDT,NASDAQ ASPA AUD TR Index (NQASPAAUDT)
NASDAQOMX/NQASPA3300AUD,NASDAQ ASPA Auto & Parts AUD Index (NQASPA3300AUD)
NASDAQOMX/NQASPA3300AUDN,NASDAQ ASPA Auto & Parts AUD NTR Index (NQASPA3300AUDN)
NASDAQOMX/NQASPA3300AUDT,NASDAQ ASPA Auto & Parts AUD TR Index (NQASPA3300AUDT)
NASDAQOMX/NQASPA3300CAD,NASDAQ ASPA Auto & Parts CAD Index (NQASPA3300CAD)
NASDAQOMX/NQASPA3300CADN,NASDAQ ASPA Auto & Parts CAD NTR Index (NQASPA3300CADN)
NASDAQOMX/NQASPA3300CADT,NASDAQ ASPA Auto & Parts CAD TR Index (NQASPA3300CADT)
NASDAQOMX/NQASPA3300EUR,NASDAQ ASPA Auto & Parts EUR Index (NQASPA3300EUR)
NASDAQOMX/NQASPA3300EURN,NASDAQ ASPA Auto & Parts EUR NTR Index (NQASPA3300EURN)
NASDAQOMX/NQASPA3300EURT,NASDAQ ASPA Auto & Parts EUR TR Index (NQASPA3300EURT)
NASDAQOMX/NQASPA3300GBP,NASDAQ ASPA Auto & Parts GBP Index (NQASPA3300GBP)
NASDAQOMX/NQASPA3300GBPN,NASDAQ ASPA Auto & Parts GBP NTR Index (NQASPA3300GBPN)
NASDAQOMX/NQASPA3300GBPT,NASDAQ ASPA Auto & Parts GBP TR Index (NQASPA3300GBPT)
NASDAQOMX/NQASPA3300,NASDAQ ASPA Auto & Parts Index (NQASPA3300)
NASDAQOMX/NQASPA3300JPY,NASDAQ ASPA Auto & Parts JPY Index (NQASPA3300JPY)
NASDAQOMX/NQASPA3300JPYN,NASDAQ ASPA Auto & Parts JPY NTR Index (NQASPA3300JPYN)
NASDAQOMX/NQASPA3300JPYT,NASDAQ ASPA Auto & Parts JPY TR Index (NQASPA3300JPYT)
NASDAQOMX/NQASPA3300LM,NASDAQ ASPA Auto & Parts Large Mid Cap Index (NQASPA3300LM)
NASDAQOMX/NQASPA3300LMN,NASDAQ ASPA Auto & Parts Large Mid Cap NTR Index (NQASPA3300LMN)
NASDAQOMX/NQASPA3300LMT,NASDAQ ASPA Auto & Parts Large Mid Cap TR Index (NQASPA3300LMT)
NASDAQOMX/NQASPA3300LMAUD,NASDAQ ASPA Auto & Parts Lg Md Cap AUD Index (NQASPA3300LMAUD)
NASDAQOMX/NQASPA3300LMAUDN,NASDAQ ASPA Auto & Parts Lg Md Cap AUD NTR Index (NQASPA3300LMAUDN)
NASDAQOMX/NQASPA3300LMAUDT,NASDAQ ASPA Auto & Parts Lg Md Cap AUD TR Index (NQASPA3300LMAUDT)
NASDAQOMX/NQASPA3300LMCAD,NASDAQ ASPA Auto & Parts Lg Md Cap CAD Index (NQASPA3300LMCAD)
NASDAQOMX/NQASPA3300LMCADN,NASDAQ ASPA Auto & Parts Lg Md Cap CAD NTR Index (NQASPA3300LMCADN)
NASDAQOMX/NQASPA3300LMCADT,NASDAQ ASPA Auto & Parts Lg Md Cap CAD TR Index (NQASPA3300LMCADT)
NASDAQOMX/NQASPA3300LMEUR,NASDAQ ASPA Auto & Parts Lg Md Cap EUR Index (NQASPA3300LMEUR)
NASDAQOMX/NQASPA3300LMEURN,NASDAQ ASPA Auto & Parts Lg Md Cap EUR NTR Index (NQASPA3300LMEURN)
NASDAQOMX/NQASPA3300LMEURT,NASDAQ ASPA Auto & Parts Lg Md Cap EUR TR Index (NQASPA3300LMEURT)
NASDAQOMX/NQASPA3300LMGBP,NASDAQ ASPA Auto & Parts Lg Md Cap GBP Index (NQASPA3300LMGBP)
NASDAQOMX/NQASPA3300LMGBPN,NASDAQ ASPA Auto & Parts Lg Md Cap GBP NTR Index (NQASPA3300LMGBPN)
NASDAQOMX/NQASPA3300LMGBPT,NASDAQ ASPA Auto & Parts Lg Md Cap GBP TR Index (NQASPA3300LMGBPT)
NASDAQOMX/NQASPA3300LMJPY,NASDAQ ASPA Auto & Parts Lg Md Cap JPY Index (NQASPA3300LMJPY)
NASDAQOMX/NQASPA3300LMJPYN,NASDAQ ASPA Auto & Parts Lg Md Cap JPY NTR Index (NQASPA3300LMJPYN)
NASDAQOMX/NQASPA3300LMJPYT,NASDAQ ASPA Auto & Parts Lg Md Cap JPY TR Index (NQASPA3300LMJPYT)
NASDAQOMX/NQASPA3300N,NASDAQ ASPA Auto & Parts NTR Index (NQASPA3300N)
NASDAQOMX/NQASPA3300T,NASDAQ ASPA Auto & Parts TR Index (NQASPA3300T)
NASDAQOMX/NQASPA8300AUD,NASDAQ ASPA Banks AUD Index (NQASPA8300AUD)
NASDAQOMX/NQASPA8300AUDN,NASDAQ ASPA Banks AUD NTR Index (NQASPA8300AUDN)
NASDAQOMX/NQASPA8300AUDT,NASDAQ ASPA Banks AUD TR Index (NQASPA8300AUDT)
NASDAQOMX/NQASPA8300CAD,NASDAQ ASPA Banks CAD Index (NQASPA8300CAD)
NASDAQOMX/NQASPA8300CADN,NASDAQ ASPA Banks CAD NTR Index (NQASPA8300CADN)
NASDAQOMX/NQASPA8300CADT,NASDAQ ASPA Banks CAD TR Index (NQASPA8300CADT)
NASDAQOMX/NQASPA8300EUR,NASDAQ ASPA Banks EUR Index (NQASPA8300EUR)
NASDAQOMX/NQASPA8300EURN,NASDAQ ASPA Banks EUR NTR Index (NQASPA8300EURN)
NASDAQOMX/NQASPA8300EURT,NASDAQ ASPA Banks EUR TR Index (NQASPA8300EURT)
NASDAQOMX/NQASPA8300GBP,NASDAQ ASPA Banks GBP Index (NQASPA8300GBP)
NASDAQOMX/NQASPA8300GBPN,NASDAQ ASPA Banks GBP NTR Index (NQASPA8300GBPN)
NASDAQOMX/NQASPA8300GBPT,NASDAQ ASPA Banks GBP TR Index (NQASPA8300GBPT)
NASDAQOMX/NQASPA8300,NASDAQ ASPA Banks Index (NQASPA8300)
NASDAQOMX/NQASPA8300JPY,NASDAQ ASPA Banks JPY Index (NQASPA8300JPY)
NASDAQOMX/NQASPA8300JPYN,NASDAQ ASPA Banks JPY NTR Index (NQASPA8300JPYN)
NASDAQOMX/NQASPA8300JPYT,NASDAQ ASPA Banks JPY TR Index (NQASPA8300JPYT)
NASDAQOMX/NQASPA8300LMAUD,NASDAQ ASPA Banks Large Mid Cap AUD Index (NQASPA8300LMAUD)
NASDAQOMX/NQASPA8300LMAUDN,NASDAQ ASPA Banks Large Mid Cap AUD NTR Index (NQASPA8300LMAUDN)
NASDAQOMX/NQASPA8300LMAUDT,NASDAQ ASPA Banks Large Mid Cap AUD TR Index (NQASPA8300LMAUDT)
NASDAQOMX/NQASPA8300LMCAD,NASDAQ ASPA Banks Large Mid Cap CAD Index (NQASPA8300LMCAD)
NASDAQOMX/NQASPA8300LMCADN,NASDAQ ASPA Banks Large Mid Cap CAD NTR Index (NQASPA8300LMCADN)
NASDAQOMX/NQASPA8300LMCADT,NASDAQ ASPA Banks Large Mid Cap CAD TR Index (NQASPA8300LMCADT)
NASDAQOMX/NQASPA8300LMEUR,NASDAQ ASPA Banks Large Mid Cap EUR Index (NQASPA8300LMEUR)
NASDAQOMX/NQASPA8300LMEURN,NASDAQ ASPA Banks Large Mid Cap EUR NTR Index (NQASPA8300LMEURN)
NASDAQOMX/NQASPA8300LMEURT,NASDAQ ASPA Banks Large Mid Cap EUR TR Index (NQASPA8300LMEURT)
NASDAQOMX/NQASPA8300LMGBP,NASDAQ ASPA Banks Large Mid Cap GBP Index (NQASPA8300LMGBP)
NASDAQOMX/NQASPA8300LMGBPN,NASDAQ ASPA Banks Large Mid Cap GBP NTR Index (NQASPA8300LMGBPN)
NASDAQOMX/NQASPA8300LMGBPT,NASDAQ ASPA Banks Large Mid Cap GBP TR Index (NQASPA8300LMGBPT)
NASDAQOMX/NQASPA8300LM,NASDAQ ASPA Banks Large Mid Cap Index (NQASPA8300LM)
NASDAQOMX/NQASPA8300LMJPY,NASDAQ ASPA Banks Large Mid Cap JPY Index (NQASPA8300LMJPY)
NASDAQOMX/NQASPA8300LMJPYN,NASDAQ ASPA Banks Large Mid Cap JPY NTR Index (NQASPA8300LMJPYN)
NASDAQOMX/NQASPA8300LMJPYT,NASDAQ ASPA Banks Large Mid Cap JPY TR Index (NQASPA8300LMJPYT)
NASDAQOMX/NQASPA8300LMN,NASDAQ ASPA Banks Large Mid Cap NTR Index (NQASPA8300LMN)
NASDAQOMX/NQASPA8300LMT,NASDAQ ASPA Banks Large Mid Cap TR Index (NQASPA8300LMT)
NASDAQOMX/NQASPA8300N,NASDAQ ASPA Banks NTR Index (NQASPA8300N)
NASDAQOMX/NQASPA8300T,NASDAQ ASPA Banks TR Index (NQASPA8300T)
NASDAQOMX/NQASPA1000AUD,NASDAQ ASPA Basic Matls AUD Index (NQASPA1000AUD)
NASDAQOMX/NQASPA1000AUDN,NASDAQ ASPA Basic Matls AUD NTR Index (NQASPA1000AUDN)
