NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIAGBPT,NASDAQ Asia GBP TR Index (NQASIAGBPT)
NASDAQOMX/NQASIA4000AUD,NASDAQ Asia Health Care AUD Index (NQASIA4000AUD)
NASDAQOMX/NQASIA4000AUDN,NASDAQ Asia Health Care AUD NTR Index (NQASIA4000AUDN)
NASDAQOMX/NQASIA4000AUDT,NASDAQ Asia Health Care AUD TR Index (NQASIA4000AUDT)
NASDAQOMX/NQASIA4000CAD,NASDAQ Asia Health Care CAD Index (NQASIA4000CAD)
NASDAQOMX/NQASIA4000CADN,NASDAQ Asia Health Care CAD NTR Index (NQASIA4000CADN)
NASDAQOMX/NQASIA4000CADT,NASDAQ Asia Health Care CAD TR Index (NQASIA4000CADT)
NASDAQOMX/NQASIA4000EUR,NASDAQ Asia Health Care EUR Index (NQASIA4000EUR)
NASDAQOMX/NQASIA4000EURN,NASDAQ Asia Health Care EUR NTR Index (NQASIA4000EURN)
NASDAQOMX/NQASIA4000EURT,NASDAQ Asia Health Care EUR TR Index (NQASIA4000EURT)
NASDAQOMX/NQASIA4000GBP,NASDAQ Asia Health Care GBP Index (NQASIA4000GBP)
NASDAQOMX/NQASIA4000GBPN,NASDAQ Asia Health Care GBP NTR Index (NQASIA4000GBPN)
NASDAQOMX/NQASIA4000GBPT,NASDAQ Asia Health Care GBP TR Index (NQASIA4000GBPT)
NASDAQOMX/NQASIA4000,NASDAQ Asia Health Care Index (NQASIA4000)
NASDAQOMX/NQASIA4000JPY,NASDAQ Asia Health Care JPY Index (NQASIA4000JPY)
NASDAQOMX/NQASIA4000JPYN,NASDAQ Asia Health Care JPY NTR Index (NQASIA4000JPYN)
NASDAQOMX/NQASIA4000JPYT,NASDAQ Asia Health Care JPY TR Index (NQASIA4000JPYT)
NASDAQOMX/NQASIA4000LM,NASDAQ Asia Health Care Large Mid Cap Index (NQASIA4000LM)
NASDAQOMX/NQASIA4000LMN,NASDAQ Asia Health Care Large Mid Cap NTR Index (NQASIA4000LMN)
NASDAQOMX/NQASIA4000LMT,NASDAQ Asia Health Care Large Mid Cap TR Index (NQASIA4000LMT)
NASDAQOMX/NQASIA4000LMAUD,NASDAQ Asia Health Care Lg Md Cap AUD Index (NQASIA4000LMAUD)
NASDAQOMX/NQASIA4000LMAUDN,NASDAQ Asia Health Care Lg Md Cap AUD NTR Index (NQASIA4000LMAUDN)
NASDAQOMX/NQASIA4000LMAUDT,NASDAQ Asia Health Care Lg Md Cap AUD TR Index (NQASIA4000LMAUDT)
NASDAQOMX/NQASIA4000LMCAD,NASDAQ Asia Health Care Lg Md Cap CAD Index (NQASIA4000LMCAD)
NASDAQOMX/NQASIA4000LMCADN,NASDAQ Asia Health Care Lg Md Cap CAD NTR Index (NQASIA4000LMCADN)
NASDAQOMX/NQASIA4000LMCADT,NASDAQ Asia Health Care Lg Md Cap CAD TR Index (NQASIA4000LMCADT)
NASDAQOMX/NQASIA4000LMEUR,NASDAQ Asia Health Care Lg Md Cap EUR Index (NQASIA4000LMEUR)
NASDAQOMX/NQASIA4000LMEURN,NASDAQ Asia Health Care Lg Md Cap EUR NTR Index (NQASIA4000LMEURN)
NASDAQOMX/NQASIA4000LMEURT,NASDAQ Asia Health Care Lg Md Cap EUR TR Index (NQASIA4000LMEURT)
NASDAQOMX/NQASIA4000LMGBP,NASDAQ Asia Health Care Lg Md Cap GBP Index (NQASIA4000LMGBP)
